date,zone_name,latitude,longitude,CHL,TUR,SPM,data_source,risk_score,risk_level,color,advice_fr,advice_ar,risk_notes
2026-04-11,Zone GCT Ghannouch,33.88,10.09,7.27,13.27,18.27,simulated,100,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; High turbidity — industrial discharge; High suspended matter
2026-04-11,Port de Gabès,33.89,10.11,5.44,9.44,13.94,simulated,60,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; Moderate turbidity
2026-04-11,Chott Essalem,33.87,10.08,6.36,11.36,16.36,simulated,100,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; High turbidity — industrial discharge; High suspended matter
2026-04-11,Zone Agricole Nord,33.95,10.07,2.7,4.2,6.2,simulated,0,CLEAN,green,Eau utilisable normalement,الماء صالح للاستخدام,
2026-04-11,Plage de Gabès,33.9,10.12,4.09,7.09,10.59,simulated,40,SUSPECT,orange,Utiliser avec précaution,استخدم بحذر,Moderate chlorophyll; Moderate turbidity
2026-04-12,Zone GCT Ghannouch,33.88,10.09,7.48,13.48,18.48,simulated,100,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; High turbidity — industrial discharge; High suspended matter
2026-04-12,Port de Gabès,33.89,10.11,5.76,9.76,14.26,simulated,60,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; Moderate turbidity
2026-04-12,Chott Essalem,33.87,10.08,6.29,11.29,16.29,simulated,100,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; High turbidity — industrial discharge; High suspended matter
2026-04-12,Zone Agricole Nord,33.95,10.07,2.13,3.63,5.63,simulated,0,CLEAN,green,Eau utilisable normalement,الماء صالح للاستخدام,
2026-04-12,Plage de Gabès,33.9,10.12,4.45,7.45,10.95,simulated,40,SUSPECT,orange,Utiliser avec précaution,استخدم بحذر,Moderate chlorophyll; Moderate turbidity
2026-04-13,Zone GCT Ghannouch,33.88,10.09,6.87,12.87,17.87,simulated,100,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; High turbidity — industrial discharge; High suspended matter
2026-04-13,Port de Gabès,33.89,10.11,5.93,9.93,14.43,simulated,60,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; Moderate turbidity
2026-04-13,Chott Essalem,33.87,10.08,6.14,11.14,16.14,simulated,100,CONTAMINATED,red,Ne pas utiliser cette eau,لا تستخدم هذا الماء,High chlorophyll — phosphate contamination; High turbidity — industrial discharge; High suspended matter
2026-04-13,Zone Agricole Nord,33.95,10.07,2.82,4.32,6.32,simulated,0,CLEAN,green,Eau utilisable normalement,الماء صالح للاستخدام,
